"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
diag_orphacode;v_klinische_daten_mit_bezug_zur_teilnahme_am_model;;text;"Diagnose Orphanet (ORPHAcode)";BIOPORTAL:ORDO;;;;;;"[klin_datum_fallkonferenz] <> ''";y;;;;;
diag_orphacode_ver;v_klinische_daten_mit_bezug_zur_teilnahme_am_model;;text;"ORPHAcode Version";;;;;;;"[klin_datum_fallkonferenz] <> ''";y;;;;;" @IF([diag_orphacode_ver] = '',@SETVALUE='4.5','')"
diag_se_code;v_klinische_daten_mit_bezug_zur_teilnahme_am_model;;text;[Alpha]-ID-SE-Code;;;;;;;"[klin_datum_fallkonferenz] <> ''";y;;;;;
diag_gmfcs;v_klinische_daten_mit_bezug_zur_teilnahme_am_model;;dropdown;"Diagnose GMFCS";"1, I | 2, II | 3, III | 4, IV | 5, V";;;;;;"[klin_datum_fallkonferenz] <> ''";;;;;;
empfehlung_studie;v_klinische_daten_mit_bezug_zur_teilnahme_am_model;" Empfehlung zu der Teilnahme an einer klinischen Studie";yesno;"Empfehlung zu der Teilnahme an einer klinischen Studie";;;;;;;"[klin_datum_fallkonferenz] <> ''";y;;;;;
studie_desc;v_klinische_daten_mit_bezug_zur_teilnahme_am_model;;descriptive;Studien;;;;;;;"[klin_datum_fallkonferenz] <> '' and [empfehlung_studie] = '1'";;;;;;" @INSTANCETABLE=studien
@INSTANCETABLE_HIDEINSTANCECOL
@INSTANCETABLE_ADDBTNLABEL='Neue Studie'"
empf_hg_beratung;v_klinische_daten_mit_bezug_zur_teilnahme_am_model;"Empfehlung zur humangenetischen Beratung";yesno;"Empfehlung humangenetische Beratung";;;;;;;"[klin_datum_fallkonferenz] <> ''";y;;;;;
empf_reeval;v_klinische_daten_mit_bezug_zur_teilnahme_am_model;"Empfehlung zur diagnostischen Re-Evaluation";yesno;"Empfehlung Re-Evaluation";;;;;;;"[klin_datum_fallkonferenz] <> ''";y;;;;;
empf_therapie;v_klinische_daten_mit_bezug_zur_teilnahme_am_model;"Empfehlung einer Therapie";yesno;Therapieempfehlung;;;;;;;"[klin_datum_fallkonferenz] <> ''";y;;;;;
therapie_desc;v_klinische_daten_mit_bezug_zur_teilnahme_am_model;;descriptive;;;;;;;;"[klin_datum_fallkonferenz] <> '' and [empf_therapie] = '1'";;;;;;" @INSTANCETABLE=therapieempfehlungen
@INSTANCETABLE_HIDEINSTANCECOL
@INSTANCETABLE_ADDBTNLABEL='Neue Therapieempfehlung'"
empf_klinisches_man;v_klinische_daten_mit_bezug_zur_teilnahme_am_model;"weitere Empfehlung zum klinischen Management";yesno;"Empfehlungen klinisches Management";;;;;;;"[klin_datum_fallkonferenz] <> ''";y;;;;;
klin_manag_desc;v_klinische_daten_mit_bezug_zur_teilnahme_am_model;;descriptive;;;;;;;;"[klin_datum_fallkonferenz] <> '' and [empf_klinisches_man] = '1'";;;;;;" @INSTANCETABLE=klinisches_management
@INSTANCETABLE_HIDEINSTANCECOL
@INSTANCETABLE_ADDBTNLABEL='Neue Empfehlung'"
gen_vorbefunde_desc;vi_klinische_daten_zu_vorbefunden;"fallrelevante, genetische Vorbefunde";descriptive;;;;;;;;;;;;;;" @INSTANCETABLE=genetische_vorbefunde
@INSTANCETABLE_HIDEINSTANCECOL
@INSTANCETABLE_ADDBTNLABEL='Neuer genetischer Vorbefund'"
anzahl_stat_behandlungen;vi_klinische_daten_zu_vorbefunden;"fallrelevante Vortherapie";text;"Anzahl der stationären Behandlungen in den letzten fünf Jahren";;;integer;;;;;y;;;;;
dauer_stat_vortherapie;vi_klinische_daten_zu_vorbefunden;;text;"Geschätzte Dauer der stationären fallrelevante Vortherapie in Tagen";;;integer;;;;;y;;;;;
datum_kontakt_zse;vi_klinische_daten_zu_vorbefunden;;text;"Monat und Jahr des ersten Kontakts mit einem spezialisierten Zentrum für Seltene Erkrankungen
";;01-MM-YYYY;date_dmy;;;;;y;;;;;
wiedervorst_desc;vii_klinische_daten_zur_nachverfolgung;"Dokumentation Wiedervorstellungen";descriptive;;;;;;;;;;;;;;" @INSTANCETABLE=wiedervorstellungen
@INSTANCETABLE_ADDBTNLABEL='Neue Wiedervorstellung'
@INSTANCETABLE_HIDEINSTANCECOL"
vitalstatus;vii_klinische_daten_zur_nachverfolgung;"Allgemeiner Status zur klinischen Nachverfolgung";dropdown;"Vitalstatus beim letzten Kontakt";"1, alive | 2, dead | 3, unknown";;;;;;;y;;;;;
datum_kontakt;vii_klinische_daten_zur_nachverfolgung;;text;"Datum des letzten Kontakts";;;date_dmy;;;;"[vitalstatus] <> ''";y;;;;;
datum_verstorben;vii_klinische_daten_zur_nachverfolgung;;text;"Sterbemonat und Sterbejahr";;01-MM-YYYY;date_dmy;;;;"[vitalstatus] = '2'";;;;;;
datum_einwillig_forsch;forschungseinwilligungen;;text;"Datum der Forschung-Einwilligung 
";;;date_dmy;;;;;;;;;;
researchconsentpresentationdate;forschungseinwilligungen;;text;"Datum der Aushändigung";;;date_dmy;;;;;;;;;;
vers_einwillig_forsch;forschungseinwilligungen;;dropdown;"Version der Forschung-Einwilligung";"1, Kinder v.1.7.2 | 2, Erwachsene v1.6d";;;;;;"[datum_einwillig_forsch] <> ''";y;;;;;
umfang_einwillig;forschungseinwilligungen;;notes;"Umfang der Forschung-Einwilligung";;JSON;;;;;"[datum_einwillig_forsch] <> ''";y;;;;;
datum_einwillig_f_wid;forschungseinwilligungen;;text;"Datum des Widerrufs der Forschung-Einwilligung ";;;date_dmy;;;;;;;;;;
umfang_einwillig_f_wid;forschungseinwilligungen;;notes;"Umfang des Widerrufs der Forschung-Einwilligung ";;JSON;;;;;"[datum_einwillig_f_wid] <> ''";y;;;;;
hpo;hpo;;text;"Phänotypisierung auf der Grundlage der HPO";BIOPORTAL:HP;;;;;;;y;;;;;
version_hpo;hpo;;text;"Version HP Ontology";;;;;;;;y;;;;;" @DEFAULT='2.2'"
beginn_symptome;hpo;;text;"Beginn Symptome";;01-MM-YYYY;date_dmy;;;;;y;;;;;
studien_register;studien;;dropdown;Studien-Register;"1, NCT | 2, DRKS | 3, Eudra-CT | 4, other";;;;;;;;;;;;"// mehr Studien?"
studienname;studien;;text;Studienname;;;;;;;;;;;;;
studien_id;studien;;text;Studien-ID;;;;;;;;;;;;;
studie_variante1;studien;"zugrundeliegende genetische Variante(n)";text;"Variante 1";;;;;;;;;;;;;" @FORMINSTANCE=varianten"
studie_variante2;studien;;text;"Variante 2";;;;;;;;;;;;;" @FORMINSTANCE=varianten"
studie_variante3;studien;;text;"Variante 3";;;;;;;;;;;;;" @FORMINSTANCE=varianten"
studie_variante4;studien;;text;"Variante 4";;;;;;;;;;;;;" @FORMINSTANCE=varianten"
studie_variante5;studien;;text;"Variante 5";;;;;;;;;;;;;" @FORMINSTANCE=varianten"
therapie_art;therapieempfehlungen;;dropdown;"Art der empfohlenen Therapie ";"symptomatic-therapy, Symptomatische nicht-medikamentöse Therapie (Fördermaßnahmen) | symptomatic-medication-administration, Symptomatische medikamentöse Therapie (bspw. antispastische Medikation) | symptomatic-intervention, Symptomatische interventionelle Therapie (Operationen, Injektionen) | causal-medication-administration, Kausale Therapie (medikamentös) | causal-intervention, Kausale Therapie (interventionell)";;;;;;;y;;;;;
therapie_beschreibung;therapieempfehlungen;;dropdown;"Beschreibung der empfohlenen Therapie";"1, medikamentös_systemisch | 2, medikamentös_zielgerichtet | 3, medikamentös_Prävention | 4, Gentherapie | 5, Prophylaxe | 6, Früherkennung | 7, Kombinationstherapie | 8, Ernährung | 9, andere";;;;;;;;;;;;
strategyother;therapieempfehlungen;;text;"Beschreibung der empfohlenen Therapie (andere)";;;;;;;"[therapie_beschreibung] = '9'";;;;;;
variante1;therapieempfehlungen;"zugrundeliegende genetische Variante(n)";text;"Variante 1";;;;;;;;;;;;;" @FORMINSTANCE=varianten"
variante2;therapieempfehlungen;;text;"Variante 2";;;;;;;;;;;;;" @FORMINSTANCE=varianten"
variante3;therapieempfehlungen;;text;"Variante 3";;;;;;;;;;;;;" @FORMINSTANCE=varianten"
variante4;therapieempfehlungen;;text;"Variante 4";;;;;;;;;;;;;" @FORMINSTANCE=varianten"
variante5;therapieempfehlungen;;text;"Variante 5";;;;;;;;;;;;;" @FORMINSTANCE=varianten"
variante;varianten;;text;Variante;;;;;;;;y;;;;;
lok_variante;varianten;;dropdown;"Lokalisation der Variante";"coding-region, Coding Region | splicing-region, Splicing Region | regulatory-region, Regulatory Region | intronic, Intronic | intergenic, Intergenic";;;;;;;y;;;;;
typ_variante;varianten;;dropdown;Typ;"1, Kausale Variante | 2, Zusatzbefunde | 3, Verdachtsvariante";;;;;;;y;;;;;
klinisches_management;klinisches_management;;text;"Beschreibung klinisches Management";;;;;;;;;;;;;
art_diagnostik;genetische_vorbefunde;;dropdown;"Art der Diagnostik";"1, Array | 2, Einzelgentestung | 3, Panel | 4, Chromosomenanalyse | 5, Exomanalyse | 6, andere | 7, genome-short-read | 8, genome-long-read";;;;;;;y;;;;;
datum_diagnostik;genetische_vorbefunde;;text;"Datum der Diagnostik";;;date_dmy;;;;;y;;;;;
ergebnis_diagnostik;genetische_vorbefunde;;dropdown;"Ergebnis der Diagnostik";"1, Phänotyp nicht komplett geklärt | 2, Strukturvariante mit unklarem Bruchpunkt | 3, heterozygote Variante bei genetischer Erkrankung | 4, keine pathogene Variante detektiert | 5, sonstige";;;;;;;;;;;;
datum_wiedervorst;wiedervorstellungen;;text;Datum;;;date_dmy;;;;;y;;;;;
hpo_wiedervorst;wiedervorstellungen;;text;"Phänotypisierung auf der Grundlage der HPO";;;;;;;;;;;;;" @FORMINSTANCE=hpo"
hpo_wiedervorst_aend;wiedervorstellungen;;dropdown;"Änderung des HPO";"1, neu hinzugekommen | 2, verbessert | 3, verschlechtert | 4, weggefallen";;;;;;;y;;;;;
gmfcs_wiedervorst_aend;wiedervorstellungen;;dropdown;"GMFCS
";"1, I | 2, II | 3, III | 4, IV | 5, V";;;;;;;;;;;;
diagnose_wiedervorst;wiedervorstellungen;;yesno;"Diagnosestellung erfolgt";;;;;;;;y;;;;;
ergaenz_wiedervorst;wiedervorstellungen;;text;"Ergänzende Daten zum Verlauf der Erkrankung";;;;;;;;y;;;;;
